reward/env_0,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/std,train/learning_rate,train/loss,train/explained_variance,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,eval/success_rate
-24533.795226625425,,,,,,,,,,,,,,,
-28787.46583733199,,,,,,,,,,,,,,,
-28591.36639551032,,,,,,,,,,,,,,,
-32074.916726107233,,,,,,,,,,,,,,,
-5118.324080525888,-15.027689361572266,-0.00021845076698809863,0.2,7.402559e-07,10,0.0,27308622.4,1.0000059604644775,0.0003,13653330.0,-4.887580871582031e-06,,,,
-18281.22092505705,,,,,,,,,,,,,,,
-35606.05922027965,,,,,,,,,,,,,,,
,,,,,,,,,,,,3000,-222.88845301,102.0,0.0
-23657.075318102543,,,,,,,,,,,,,,,
-31248.332202601894,,,,,,,,,,,,,,,
-15379.712526120848,,,,,,,,,,,,,,,
-70443.42183636293,-14.32239990234375,-0.000143677880987525,0.2,1.9461731e-07,20,0.0,95175720.8,1.0000112056732178,0.0003,47586656.0,6.556510925292969e-06,,,,
-46439.152986682995,,,,,,,,,,,,,,,
-69275.23668472398,,,,,,,,,,,,,,,
-43336.896243628806,,,,,,,,,,,,,,,
,,,,,,,,,,,,6000,-219.68435239,102.0,0.0
-47071.29380203712,,,,,,,,,,,,,,,
-32199.37731340582,-14.530436420440674,2.8935959562659264e-05,0.2,2.5291229e-08,30,0.0,148360835.2,1.0000145435333252,0.0003,74178528.0,2.7418136596679688e-06,,,,
-61115.80159726964,,,,,,,,,,,,,,,
-38051.675211448666,,,,,,,,,,,,,,,
-55890.386694916895,,,,,,,,,,,,,,,
-17951.22548876599,-15.114460372924805,-4.088161513209343e-05,0.2,5.8935257e-08,40,0.0,110242016.8,1.0000171661376953,0.0003,55119320.0,1.4126300811767578e-05,,,,
-3171.634504354253,,,,,,,,,,,,,,,
