#{"t_start": 1719550026.9503973, "env_id": "None"}
r,l,t
-14921.742548,16,10.43967
-1239.023908,4,10.566126
-1455.03847,3,10.707538
-1450.316802,4,10.897253
-5417.492583,7,11.165726
-4372.985486,7,11.448729
-1401.172437,4,11.62-103675.972592,102,14.675099
-630.950908,1,14.765937
-1680.965067,2,14.929295
-3186.421348,4,15.137252
-1055.7838,1,15.229561
-762.963765,1,15.317776
-346.442288,1,15.408567
-1600.310008,4,15.650176
-42072.701147,102,19.83264
-847.784609,1,19.936442
-1302.711286,3,20.087677
-1089.118003,2,20.218158
-1447.680894,3,20.437288
-191647.479745,102,25.032469
-823.199975,1,25.111044
-2237.41599,6,25.378868
-191219.748133,102,29.957613
-737.777607,1,30.047973
-1331.605245,3,30.199402
-1278.248783,3,30.408961
-1387.261125,3,30.56923
-1218.364491,2,30.689538
-1437.441869,3,30.909645
-1024.432634,2,31.020636
-1420.310373,3,31.232045
-1348.809945,3,31.382611
-1615.367756,3,31.523044
-400.535027,1,31.613214
-1356.210177,3,31.753797
-1139.16416,2,31.874406
-1139.861861,2,31.975172
-1429.656475,4,32.145889
-484.24463,1,32.241105
-1115.987799,2,32.356924
-1359.379479,3,32.497743
-1430.603194,3,32.648806
-1402.951382,3,32.849913
-1193.714987,1,32.955556
-1409.754113,2,33.146584
-1422.739918,2,33.267402
-1287.249565,3,33.463529
-1667.289223,4,33.664734
-1451.650838,3,33.806323
-1389.734878,3,34.01942
-1063.243821,2,34.149886
-1295.910931,2,34.260501
-1375.801221,3,34.422087
-1217.700341,2,34.533365
-1407.497328,3,34.755335
-427.881576,1,34.842204
-1175.179551,2,34.957262
-1226.008851,2,35.098223
-1198.124883,3,35.269311
-1501.323438,4,35.510922
-1454.539632,3,35.651672
-1180.024029,2,35.853602
-1846.072404,5,36.075332
-1082.908952,2,36.277252
-1275.697491,3,36.427478
-1040.786193,1,36.517985
-1596.745442,4,36.679078
-1420.031326,3,36.899616
-1492.669299,3,37.040691
-282.33217,1,37.151388
-1209.602745,2,37.282937
-1366.488356,3,37.503181
-1557.718664,4,37.753629
-1291.57457,3,37.904109
-1686.212332,3,38.057231
-1542.029163,3,38.219232
-327.037665,1,38.330091
-540.995668,1,38.431194
-1678.209364,4,38.672068
-1359.21113,3,38.833699
-1152.427147,2,38.955157
-1361.292969,3,39.127432
-1422.858959,3,39.278255
-1403.083017,3,39.42884
-1069.952827,2,39.54969
-1446.267977,3,39.770759
-1796.169232,5,39.992367
-163514.999392,102,44.297061
-1219.590581,3,44.45731
-1202.090672,2,44.577604
-2483.350539,8,44.919661
-1299.829652,3,45.080821
-1382.892802,3,45.220993
-1362.210606,3,45.372119
-1493.577892,3,45.573787
-1096.048108,2,45.694348
-1412.39679,3,45.915812
-1401.566754,3,46.056346
-819.514533,2,46.176925
-1333.403911,3,46.347774
-1079.221314,2,46.488337
-1018.802528,1,46.588977
-1201.520801,2,46.719809
-188682.933202,102,50.907271
-1017.386382,2,51.027507
059392,7,40.070957
-1390.235951,4,40.252129
-1950.370647,6,40.514075
-1962.722833,6,40.765575
-1569.079734,5,40.986462
-1396.382382,4,41.166384
-3745.418488,5,41.367393
-1647.202147,5,41.579703
-1625.045881,5,41.80018
-4003.66963,7,42.072512
-1617.332039,5,42.284481
-1598.527052,5,42.515718
-1635.494843,5,42.726785
-4316.450731,7,43.020125
-1583.552146,5,43.209375
-5441.38821,7,43.472046
-1869.698773,5,43.663087
-1388.61541,4,43.844111
-1595.672692,5,44.054708
-2093.768942,6,44.295583
-2240.443443,6,44.656195
-1811.789581,6,44.898176
-1789.452529,5,45.159412
-6089.867753,8,45.571805
-1615.068717,5,45.893933
-1391.974516,4,46.134937
-4054.852909,7,46.556924
-3770.183654,7,46.96957
-1372.446723,4,47.151609
-2625.999714,7,47.433109
-1616.715652,5,47.644311
-2540.107856,7,47.91743
-5000.464696,5,48.120487
-664.542523,1,48.211938
-2151.338021,7,48.473872
-1388.839221,4,48.645345
-1578.837483,5,48.836234
-1420.327092,4,49.017378
-1594.574483,5,49.230776
-2042.673533,6,49.47878
-4243.575883,7,49.751114
-4226.333983,7,50.021214
-2664.811893,7,50.313347
-5137.425276,7,50.584207
-1493.794379,5,50.775057
-2382.304609,7,51.106097
-1900.571243,6,51.357375
-4376.307235,7,51.61856
-2151.398985,7,51.900437
-1375.119501,4,52.09167
-1848.024112,6,52.352645
-5748.611391,8,52.676096
-2061.685706,6,52.927474
-6374.442037,9,53.248956
-1600.449473,5,53.44135
-1415.429319,4,53.612652
