reward/env_1,reward/env_0
-2424.657553834446,
,-4896.722862304544
,-2155.2617499560993
,-1723.674029017738
,-3486.146353886668
-21954.529275645196,
-1390.3842418944532,
,-1992.5598448622106
,-1827.1372140788476
,-2431.5199159099147
,-2647.878767009089
-9351.999187831498,
,-2355.896418525753
,-2478.876913932175
,-3110.4899723538824
,-1659.083928881769
,-1644.2425841972865
,-2511.011962966832
,-2230.8063584788238
,-1676.0828236796592
-77333.12428994899,
-1330.584302757991,
-1161.8911469507107,
,-5384.445462507665
-1109.8274606964846,
-1300.527368104547,
-1447.736731163183,
,-2007.3887519050713
-1268.4782382492444,
-1086.9384380607864,
,-2229.0733676134837
-1412.9736908975497,
-1365.185950206649,
,-2508.792405859085
-1141.5433011188811,
-1154.8968381286832,
,-2557.673279104075
-1339.7746443988794,
,-2292.2770436216797
,-1996.6257264504152
,-2634.2948589612824
,-2375.785446314911
-33809.39600166779,
-1546.0748540995392,
,-2805.0644497967487
-1244.6208155768277,
,-2440.905303836114
,-2489.566088055781
,-1626.7832598470843
,-3662.9641138220313
-38663.17635109076,
,-2460.875290126408
,-3481.576549347626
